category,entity,score
qa_summary_filtered_automotive.json,95,21.16
qa_summary_filtered_baby.json,17,28.56
qa_summary_filtered_beauty.json,20,23.96
qa_summary_filtered_cell_phones_and_accessories.json,94,16.24
qa_summary_filtered_clothing_shoes_and_jewelry.json,10,16.67
qa_summary_filtered_electronics.json,304,22.06
qa_summary_filtered_grocery_and_gourmet_food.json,22,16.17
qa_summary_filtered_health_and_personal_care.json,80,15.42
qa_summary_filtered_home_and_kitchen.json,262,23.0
qa_summary_filtered_musical_instruments.json,22,35.06
qa_summary_filtered_office_products.json,66,12.69
qa_summary_filtered_patio_lawn_and_garden.json,70,12.92
qa_summary_filtered_pet_supplies.json,11,16.51
qa_summary_filtered_sports_and_outdoors.json,163,13.85
qa_summary_filtered_tools_and_home_improvement.json,138,18.68
qa_summary_filtered_toys_and_games.json,54,21.41
qa_summary_filtered_video_games.json,12,28.59
all,1440,19.46
