category,entity,score
qa_summary_filtered_automotive.json,95,75.43
qa_summary_filtered_baby.json,17,86.09
qa_summary_filtered_beauty.json,20,81.82
qa_summary_filtered_cell_phones_and_accessories.json,94,69.07
qa_summary_filtered_clothing_shoes_and_jewelry.json,10,64.81
qa_summary_filtered_electronics.json,304,70.73
qa_summary_filtered_grocery_and_gourmet_food.json,22,74.52
qa_summary_filtered_health_and_personal_care.json,80,71.1
qa_summary_filtered_home_and_kitchen.json,262,79.08
qa_summary_filtered_musical_instruments.json,22,78.4
qa_summary_filtered_office_products.json,66,63.21
qa_summary_filtered_patio_lawn_and_garden.json,70,65.16
qa_summary_filtered_pet_supplies.json,11,73.91
qa_summary_filtered_sports_and_outdoors.json,163,66.26
qa_summary_filtered_tools_and_home_improvement.json,138,58.63
qa_summary_filtered_toys_and_games.json,54,79.28
qa_summary_filtered_video_games.json,12,76.87
all,1440,71.06
